hks_t0,hks_t1,hks_t2,hks_t3,hks_t4,hks_t5,hks_t6,hks_t7,hks_t8,hks_t9,hks_t10,hks_t11,hks_t12,hks_t13,hks_t14,hks_t15,hks_t16,hks_t17,hks_t18,hks_t19,hks_t20,hks_t21,hks_t22,hks_t23,hks_t24,hks_t25,hks_t26,hks_t27,hks_t28,hks_t29,hks_t30,hks_t31,target_label
-14.859709,-14.885321,-14.9160795,-14.952932,-14.9969635,-15.049388,-15.111536,-15.184817,-15.270654,-15.37037,-15.485047,-15.615314,-15.761131,-15.921605,-16.094923,-16.278522,-16.469517,-16.66526,-16.863792,-17.06396,-17.26524,-17.467472,-17.6707,-17.875109,-18.08104,-18.288954,-18.499369,-18.712774,-18.92959,-19.150229,-19.37526,-19.605658,Soma
-14.859709,-14.885321,-14.9160795,-14.952932,-14.9969635,-15.049388,-15.111536,-15.184817,-15.270654,-15.37037,-15.485047,-15.615314,-15.761131,-15.921605,-16.094923,-16.278522,-16.469517,-16.66526,-16.863792,-17.06396,-17.26524,-17.467472,-17.6707,-17.875109,-18.08104,-18.288954,-18.499369,-18.712774,-18.92959,-19.150229,-19.37526,-19.605658,Soma
-14.85057,-14.876301,-14.9072075,-14.944246,-14.988511,-15.041231,-15.103755,-15.17752,-15.26398,-15.364513,-15.480265,-15.61196,-15.759697,-15.922769,-16.099627,-16.288073,-16.48569,-16.690395,-16.900848,-17.116478,-17.337185,-17.562994,-17.793865,-18.029732,-18.270634,-18.516861,-18.768991,-19.027866,-19.294563,-19.570507,-19.857658,-20.15869,Soma
-14.85057,-14.876301,-14.9072075,-14.944246,-14.988511,-15.041231,-15.103755,-15.17752,-15.26398,-15.364513,-15.480265,-15.61196,-15.759697,-15.922769,-16.099627,-16.288073,-16.48569,-16.690395,-16.900848,-17.116478,-17.337185,-17.562994,-17.793865,-18.029732,-18.270634,-18.516861,-18.768991,-19.027866,-19.294563,-19.570507,-19.857658,-20.15869,Soma
-15.070798,-15.092403,-15.118216,-15.148946,-15.185372,-15.228318,-15.278607,-15.336999,-15.404083,-15.480133,-15.564931,-15.657564,-15.756272,-15.858413,-15.960671,-16.059559,-16.152126,-16.23665,-16.312986,-16.382444,-16.447311,-16.510248,-16.573803,-16.640162,-16.711128,-16.788254,-16.872944,-16.966497,-17.070023,-17.184338,-17.309929,-17.447014,Shaft
-15.319031,-15.335024,-15.3540535,-15.376601,-15.403183,-15.434326,-15.470546,-15.512296,-15.559916,-15.613563,-15.673147,-15.738289,-15.808319,-15.882351,-15.95943,-16.038736,-16.119776,-16.20249,-16.287296,-16.375029,-16.46688,-16.56429,-16.668795,-16.781872,-16.904755,-17.038366,-17.183302,-17.339922,-17.50849,-17.68927,-17.88243,-18.087467,Shaft
-14.867511,-14.893176,-14.923998,-14.960927,-15.00505,-15.057582,-15.119853,-15.193271,-15.279244,-15.379081,-15.493815,-15.6240015,-15.769477,-15.929151,-16.100948,-16.281986,-16.469059,-16.659286,-16.85064,-17.042078,-17.233341,-17.424578,-17.616108,-17.808315,-18.001621,-18.196507,-18.393543,-18.593418,-18.796955,-19.005167,-19.219406,-19.441633,Soma
-14.885318,-14.910619,-14.941,-14.977398,-15.020878,-15.072638,-15.133984,-15.206299,-15.290975,-15.389304,-15.502326,-15.630627,-15.774117,-15.93184,-16.101894,-16.281582,-16.4678,-16.65758,-16.848524,-17.038975,-17.227934,-17.414898,-17.599789,-17.782898,-17.96483,-18.146393,-18.328545,-18.512428,-18.699501,-18.891663,-19.091328,-19.30137,Soma
-13.954028,-13.965356,-13.979049,-13.995588,-14.015549,-14.03961,-14.068577,-14.103392,-14.145154,-14.195131,-14.254767,-14.32568,-14.409635,-14.508498,-14.624127,-14.758186,-14.911833,-15.08523,-15.276857,-15.482696,-15.695631,-15.905823,-16.10285,-16.27937,-16.434065,-16.571299,-16.69787,-16.819725,-16.940603,-17.062231,-17.184975,-17.30844,Spine
-13.526699,-13.535307,-13.545696,-13.558226,-13.5733185,-13.591476,-13.613293,-13.639464,-13.670809,-13.7082815,-13.752998,-13.806255,-13.869557,-13.944637,-14.033468,-14.13825,-14.261357,-14.405193,-14.571938,-14.763105,-14.978904,-15.217371,-15.473517,-15.73898,-16.00306,-16.255604,-16.490622,-16.707796,-16.910254,-17.100473,-17.277718,-17.438633,Spine
